work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,4.987,11.9615,30.1143,12.0045,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,5.952,11.7454,30.2603,11.3524,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,6.897,11.1061,30.6427,10.4056,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,0.919,15.6866,27.7152,8.3847,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,1.974,14.8757,29.5753,8.3532,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,3.033,14.4126,29.9673,8.4714,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,4.009,13.9708,30.1687,8.603,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,5.013,13.6739,30.2294,8.6996,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,5.971,13.5544,30.2715,8.7387,
CALVERT,018032_2015-07-15T21:41:13.166Z,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,6.889,13.5229,30.2922,8.7578,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,0.884,13.5363,29.1492,6.1674,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,1.922,13.1137,29.8758,6.0436,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,2.954,12.8302,30.1268,5.9551,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,3.903,12.5371,30.3091,5.8532,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,4.859,12.343,30.4056,5.7382,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,5.854,12.0005,30.6321,5.6018,
CALVERT,080217_2015-08-05T20:24:18.167Z,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,6.835,11.762,30.8037,5.4555,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,0.921,13.5765,29.3992,5.7966,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,1.934,12.9497,30.1767,5.5134,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,3.003,12.707,30.3586,5.3033,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,3.951,12.3475,30.5739,5.1835,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,4.951,11.8282,30.8337,5.1183,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,5.96,11.373,31.024,5.0876,
CALVERT,018066_2015-08-05T20:52:02.333Z,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,6.969,11.2975,31.0646,5.056,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,1.002,14.4323,25.9717,8.596,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,2.006,14.365,26.2982,8.5572,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,3.084,14.2912,26.8932,8.3329,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,4.206,14.214,27.3991,7.9017,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,4.927,13.7638,28.3249,7.6104,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,5.952,12.5114,30.2543,7.1362,
CALVERT,080217_2015-08-26T18:52:25.833Z,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,6.994,12.2063,30.493,6.7136,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,1.023,12.257,28.9245,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,1.953,12.2346,29.1162,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,2.924,12.1844,29.2473,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,4.032,12.1365,29.3985,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,5.127,11.8166,29.848,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,5.942,11.7803,29.9653,,
CALVERT,080217_2015-09-16T21:02:00.333Z,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,6.879,11.7313,30.0846,,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,0.978,12.3388,27.6507,6.2176,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,2.025,12.1755,29.5244,5.9956,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,2.938,12.1671,29.5604,5.9214,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,3.901,12.1604,29.5781,5.8929,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,4.938,12.1562,29.6484,5.8668,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,5.939,12.1591,29.6728,5.8413,
CALVERT,018066_2015-09-22T17:49:13.500Z,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,6.953,12.1535,29.7414,5.8102,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,0.902,11.3458,23.4678,6.2578,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,1.942,11.2818,26.784,6.0765,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,2.963,11.1931,26.9785,6.0326,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,3.994,11.172,27.0497,6.0267,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,5.009,11.1733,27.072,6.0206,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,5.9,11.1798,27.0764,6.0115,
CALVERT,018032_2015-10-08T18:11:26.833Z,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,6.933,11.1845,27.0975,5.9963,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,0.928,10.5636,28.0133,6.148,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,1.944,10.5386,28.136,5.9788,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,2.958,10.5379,28.18,5.9594,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,3.997,10.5311,28.2136,5.9519,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,5.001,10.5389,28.2279,5.9475,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,5.974,10.5643,28.2791,5.9446,
CALVERT,018032_2015-10-28T21:10:33.000Z,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,6.967,10.5931,28.3182,5.9412,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,0.935,8.3679,29.7584,5.7482,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,1.949,8.4038,29.9061,5.6681,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,2.998,8.4106,29.927,5.6346,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,4.027,8.4102,29.9213,5.6155,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,5.009,8.4244,29.948,5.6016,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,5.963,8.4439,29.967,5.5892,
CALVERT,018032_2015-12-01T17:37:29.166Z,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,6.95,8.4636,29.9967,5.5781,
CALVERT,018066_2016-01-15T18:52:43.666Z,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,0.945,,,,
